event_id,n_ticks,coverage_pct,pre_return,post_return_5m,post_return_30m,post_return_120m,realized_vol_pre,realized_vol_post_30m,realized_vol_post_120m,volume_pre_mean,volume_post_mean,volume_ratio
GOOGL_2025-10-29,8138,75.35185185185185,-0.01621004627030854,0.0044753669729118975,0.007206239610494171,0.015388634765433682,0.015636963766500176,0.011084565849457221,0.01377034272152927,94.47972222222222,42.60494689770822,0.45094276206166983
GOOGL_2026-02-04,10150,93.98148148148148,-0.011488660444514407,0.05593781593268665,0.03437051235020014,-0.006145066794151297,0.05629861574301033,0.030829263698925174,0.04134828772214821,2062.744722222222,223.616870483602,0.10840743795126359
META_2025-01-29,9146,84.68518518518519,0.0022296224048086303,0.007127928184037951,0.04329680575332426,0.01594883465875455,0.08046760208044734,0.023882718654192867,0.03357746001116538,462.45472222222224,110.96842837273992,0.23995522813456435
META_2025-04-30,9165,84.86111111111111,0.048496074459541294,0.004467075784807253,-0.0006596306307779166,0.005589361912876257,0.06624475695476569,0.01148314934716711,0.01961087673747544,1348.0241666666666,64.16087319243604,0.047596233642524494
META_2025-07-30,9401,87.0462962962963,0.08286248687673427,0.006914050871431036,0.014120108912674845,0.027889109421584044,0.0466089706113006,0.014055712527686075,0.02047347793783117,1048.6744444444444,83.94972222222222,0.08005317824512852
META_2025-10-29,10668,98.77777777777777,-0.08456958089323119,0.001207158742507089,0.0010763324287878767,0.009155370986323644,0.047624466791636996,0.018120809800797305,0.02541506579397777,966.6091666666666,234.73409280355654,0.2428428168264042
META_2026-01-28,10381,96.12037037037037,0.053383909007260665,0.015586114498731004,0.02523304785540375,0.01366501804799695,0.06997504670654275,0.019021464574520128,0.025911064267149654,958.3432462479155,239.65995277121823,0.25007736393983016
MSFT_2025-01-29,6812,63.07407407407407,-0.003910658062944673,-0.0032089416106358907,-0.035041930509970474,,0.011807098135526745,0.021428634372174196,0.028491249654490933,62.87770983879933,103.12437349173938,1.6400783959231515
MSFT_2025-04-30,8580,79.44444444444444,-7.157256865084652e-05,-0.002412604034314693,-0.0004534119325013829,0.01105665284240194,0.012021228900232847,0.01142146020705951,0.03041218438874334,84.05555555555556,73.1027320880959,0.8696954247096671
MSFT_2025-07-30,7775,71.99074074074075,0.0014341084211144045,0.0008703536360844941,0.017532163489683804,0.013191281888816703,0.012105628738861968,0.017334181588898115,0.020763271287945743,70.71277777777777,39.829004028337266,0.5632504517571638
MSFT_2025-10-29,8334,77.16666666666666,-0.0006978696398738782,0.0018850146957714257,-0.025685558227956016,-0.01588014163218914,0.015463672093887796,0.016154220854512444,0.023567691672255166,119.83305555555556,80.42378768931499,0.6711319119458644
MSFT_2026-01-28,8506,78.75925925925927,-0.01436815668146126,-0.0021195476038025655,0.011653398372709973,,0.015540317216306932,0.02002081798332004,0.0341788613949998,144.46805555555557,158.45888888888888,1.0968437851505042
MU_2024-12-18,8920,82.5925925925926,-0.15791299476649284,-0.012831417332907378,0.02062833734504915,-0.02140257615508682,0.10169048947749278,0.03306939120257733,0.042737463862228944,2454.883333333333,100.36949247071946,0.0408856466243689
MU_2025-03-20,3964,36.7037037037037,-0.008494800207704963,-0.003286542232401703,-0.014732535802128502,-0.026792406315270193,0.017290046671550856,0.006747244229261025,0.01246565064252109,64.06222222222222,12.272866918028209,0.1915772898956811
MU_2025-06-25,5803,53.73148148148148,-0.034535252863758824,0.008106045944547361,0.0013295274316005292,0.0048403560816635514,0.02221977682369278,0.01072704451583275,0.014050673732793796,118.05197331851028,20.4653685674548,0.1733589705632297
MU_2025-09-23,7191,66.58333333333334,-0.0052708066711267465,-0.013811465848713726,-0.004224813638799782,-0.007629529767129117,0.01743957205979601,0.009969339802434146,0.012595529723807874,129.85222222222222,33.340608925344085,0.2567580928132807
MU_2025-12-17,5701,52.78703703703703,0.029274405465499594,-0.0069726474669522835,-0.018040669687572872,,0.020467876840270655,0.009108901285702312,0.010949307401194371,174.67277777777778,36.86631461923291,0.21105930236098366
NVDA_2024-11-20,10269,95.08333333333333,-0.006464057716139592,0.00041385019213938817,-0.006714454326507685,-0.009914457057178408,0.04821990284062906,0.018206674636289603,0.02491140735478941,6138.916111111111,472.25350938151496,0.0769278323459676
NVDA_2025-02-26,10381,96.12037037037037,0.027645991455877487,-0.005200219727107487,-0.013877712836646976,-0.03054476532185862,0.07209409698777755,0.027279381926079233,0.03263601301508629,7405.329722222222,546.8042239822148,0.07383928123299384
NVDA_2025-05-28,10315,95.50925925925927,0.05047705867273444,0.0034496144595728027,-0.010705905367346254,-0.007077170374085087,0.03948878821113666,0.012736994057974097,0.01764393211998673,5894.817222222222,694.430735028484,0.11780360761833736
NVDA_2025-08-27,10214,94.57407407407408,-0.027122198213560256,-0.0024355028889108247,0.0056411273868022475,-0.004081406946730262,0.04450581038128372,0.015717236787882297,0.01990856936659273,4020.9808333333335,338.92673432503824,0.08428956724075529
NVDA_2025-11-19,10347,95.80555555555556,0.042771834972594555,0.010324123184097657,0.005839582212716827,0.008033404678779946,0.03284736964317022,0.015474801531238562,0.02362918634235502,4833.140833333333,664.12625,0.13741090377909881
ORCL_2024-12-09,7,0.06481481481481481,,,,,,,,4353.930232558139,,
ORCL_2025-03-10,1,0.009259259259259259,,,,,,,,1881297.0,,
ORCL_2025-06-11,2,0.018518518518518517,,,,,,,,854502.5,,
ORCL_2025-09-09,1,0.009259259259259259,,,,,,,,1693454.0,,
ORCL_2025-12-10,1,0.009259259259259259,,,,,,,,4239770.0,,
